Ticker,TimeStamp,Open,High,Low,Close,Volume,Return,ADXR,AROONOSC,APO,CCI,MACD,MACD_hist,MACD_signal,MFI,ROCP,RSI,Industry,Sector,Market_cap,Industry_weight,Earnings_date,Technical_points
AGO,2018-01-12,33.599998,34.23,33.599998,34.040001,1127700.0,0.0123384837738,20.0131464576,-78.5714285714,-0.453461275641,38.7323382578,-0.46270533333,0.092434098917,-0.555139432247,53.5219016986,0.0011765,47.2654214333,Surety & Title Insurance,Financial,3880000000.0,0.243051727421,Feb 01 AMC,2
AGN,2018-01-12,177.619995,180.559998,175.789993,176.050003,2801900.0,-0.00607777325627,19.9806050138,64.2857142857,1.27160229487,133.20130273,0.85145435373,1.39699352552,-0.545539171791,59.8105458545,0.0694326834356,57.9933587262,Drugs - Generic,Healthcare,58580000000.0,0.38532694972,Jan 31 BMO,3
LIFE,2018-01-12,4.0,4.05,3.85,3.9,62800.0,-0.0128205128205,8.23236689492,64.2857142857,0.0333333333333,109.375,-0.0152112139246,0.0448067882607,-0.0600180021854,54.3120686143,0.04,51.748841336,Biotechnology,Healthcare,111610000.0,0.000147325467897,Feb 13 AMC,3
CEL,2018-01-12,10.19,10.53,10.19,10.38,12900.0,0.00867052023121,19.6631633453,71.4285714286,0.233782051282,7.78727445394,0.152698233702,-0.00800486758642,0.160703101289,52.7449255498,0.0126829268293,57.9850066961,Telecom Services - Domestic,Technology,1060000000.0,0.00197494123758,Nov 27 BMO,2
AGI,2018-01-12,5.99,6.15,5.95,6.12,2528900.0,0.0375816993464,15.9753987857,-21.4285714286,0.108974358974,-162.988862989,-0.0372978002372,-0.055778270236,0.0184804699988,44.9742607602,-0.0613496932515,42.6421806102,Gold,Basic Materials,1880000000.0,0.0175685122918,Feb 01 BMO,2
FLOW,2018-01-12,48.34,48.75,47.959999,48.369999,198000.0,0.0111638828026,28.0968609599,14.2857142857,0.556153641026,286.865835129,0.807560559074,-0.0856309118077,0.893191470881,48.300983582,0.0208948497067,71.7429977607,Diversified Machinery,Industrial Goods,2000000000.0,0.00220855858192,Jan 31 BMO,2
NYV,2018-01-12,14.43,14.5,14.42,14.42,3500.0,-0.00208044382802,18.8176665893,78.5714285714,0.0227006410257,52.3220661533,0.0330501231357,0.0121487449268,0.0209013782089,44.504101051,0.00718165219559,55.0140334061,Asset Management,Financial,34020000.0,7.22999783483e-05,-,3
AGM,2018-01-12,79.599998,81.120003,78.940002,81.0,68000.0,0.0162962962963,16.0169230461,28.5714285714,1.68004985897,138.775281478,1.26628441447,0.114302223117,1.15198219135,58.1343325214,0.0229856024249,64.8176593493,Credit Services,Financial,813260000.0,0.000982815757841,Feb 08 BMO,3
NYT,2018-01-12,19.5,20.35,19.299999,20.25,4219100.0,0.0395061234568,15.7508055072,42.8571428571,0.328288647436,220.900528889,0.310575824518,0.147626548688,0.16294927583,59.7603233403,0.0881121517463,70.1631390729,Publishing - Newspapers,Services,3090000000.0,0.554423184578,Jan 31 BMO,3
AGX,2018-01-12,46.5,46.75,45.5,45.75,215100.0,-0.0131147103825,49.2719113709,-35.7142857143,0.0830125384615,87.7983051757,-1.92115220232,0.69097383327,-2.61212603559,33.4439972119,0.0,40.7465286962,Heavy Construction,Industrial Goods,691140000.0,0.0298411442862,Dec 12 AMC,2
